start	end	text
2804000	2807000	by a good company for such difficult times
2807000	2810000	to avoid all the unfortunate situations
2810000	2813000	that will arise.
2813000	2816000	I think that this way will not be interesting.
2816000	2819000	Therefore, it requires again
2819000	2822000	the use of certain visualizations
2822000	2825000	of possible events
2825000	2828000	and trying to avoid them.
2828000	2831000	Do you have energy prices
2831000	2834000	secured in any way
2834000	2837000	or do you buy it on a regular basis?
2837000	2840000	We have energy prices secured
2840000	2843000	at the level of the previous year,
2843000	2846000	so if there were any drastic moves
2846000	2849000	in this year,
2849000	2852000	it should not touch us.
2855000	2858000	Do you provide an emission of shares
2858000	2861000	in order to finance further investments?
2864000	2867000	It is always an open topic
2867000	2870000	in the open market.
2870000	2873000	If, for example,
2873000	2876000	an interesting large company appears,
2876000	2879000	we will consider such a step.
2879000	2882000	However, at the moment,
2882000	2885000	we either implement these current investments
2885000	2888000	with our own funds or with bank financing.
2888000	2891000	However, if a large investment
2891000	2894000	appears on the horizon,
2894000	2897000	we will consider it an open issue.
2897000	2900000	After all, these are companies on the stock market,
2900000	2903000	so as to provide some financial development
2903000	2906000	and income from the capital market.
2906000	2909000	We also have to consider
2909000	2912000	that the price of our companies
2912000	2915000	is very, very, very, very, very low.
2915000	2918000	From my point of view,
2918000	2921000	a quick decision
2921000	2924000	on some emissions and such things
2924000	2927000	theoretically does not exist.
2927000	2930000	I believe that we are very, very undervalued
2930000	2933000	because we are not yet a very recognizable brand
2933000	2936000	in Poland,
2936000	2939000	but in Europe more.
2939000	2942000	First, we should work on the high value
2942000	2945000	of our company.
2945000	2948000	I think that one share is already undervalued on the stock market.
2948000	2951000	Of course, questions are also being asked about the price.
2951000	2954000	Despite the continuous development of the company,
2954000	2957000	excellent results from the financial report
2957000	2960000	of the Sannex shares fell from PLN 30 to 20.
2960000	2963000	Are you able to explain this logically?
2963000	2966000	No, and I am.
2966000	2969000	I believe that we should not have any positive ...
2969000	2972000	We have been making positive announcements for the last five years.
2972000	2975000	All in turn, every quarter better,
2975000	2978000	100%, 200%.
2978000	2981000	I think this is a mistake.
2981000	2984000	We should not say anything, then it will probably be okay.
2984000	2987000	When we look at companies from our industry,
2987000	2990000	everyone has a problem.
2990000	2993000	One has millions, millions, millions,
2993000	2996000	more credits than profits,
2996000	2999000	it almost stopped functioning, something else,
2999000	3002000	and everyone has a nice price, much higher.
3002000	3005000	And we have Sannex, positive announcements,
3005000	3008000	and we do not have a price.
3008000	3011000	Of course, there is such a correctness.
3011000	3014000	After every positive announcement, the shares fall.
3014000	3017000	I'm afraid it will be the end of the quarter, it will be a tragedy.
3017000	3020000	Okay, so there will be good quarter results.
3020000	3023000	How are the shares supposed to fall?
3023000	3026000	Okay, the second question.
3026000	3029000	I understand that you feel that this is a big undervaluing,
3029000	3032000	that you have ambitions to be a company at the European level
3032000	3035000	and appreciated by this prism
3035000	3038000	to beat the next European markets,
3038000	3041000	and not only by the prism of Polish photovoltaics,
3041000	3044000	as many people qualify you.
3044000	3047000	Great.
3047000	3050000	Okay, now the question is about the funds in the other direction.
3050000	3053000	Can you say something about the dividends this year?
3053000	3056000	I mean, there will definitely be dividends this year.
3056000	3059000	How much exactly will it be,
3059000	3062000	we are still conducting analyzes here,
3062000	3065000	how much money we will need for investment,
3065000	3068000	how much we can afford to pay,
3068000	3071000	such analyzes are going on, there will definitely be.
3071000	3074000	It will probably be closer to the annual level,
3074000	3077000	maybe a little higher.
3077000	3080000	Well, from our perspective, as we always say,
3080000	3083000	we wanted to be a company for a few years,
3083000	3086000	we are a company of the Domona dividend.
3086000	3089000	For today,
3089000	3092000	from the perspective of pricing
3092000	3095000	or the friendliness of the market,
3095000	3098000	looking at us, I mean, it does not have much influence.
3098000	3101000	So, but we stay with the assumptions
3101000	3104000	that we made at the beginning.
3104000	3107000	The question is about the shares,
3107000	3110000	newly acquired, what are the economic plans,
3110000	3113000	construction plans, their destination
3113000	3116000	and when are the investments planned for them?
3116000	3119000	Investments in the shares are scheduled
3119000	3122000	all the time, so here we have
3122000	3125000	for a few years there is no period
3125000	3128000	that investments should be conducted.
3128000	3131000	Investments are either very large,
3131000	3134000	very large amounts that consume a lot of energy
3134000	3137000	or those that end or start.
3137000	3140000	So the shares that the company has managed to buy
3140000	3143000	are conducted all the time.
3143000	3146000	These houses are renovated,
3146000	3149000	they are prepared for their goals
3149000	3152000	that we have there.
3152000	3155000	Every year, theoretically,
3155000	3158000	we have some new big investment
3158000	3161000	that we give away or some house that we need
3161000	3164000	to produce or store.
3164000	3167000	These investments, probably from my point of view,
3167000	3170000	I've been sitting here for a long time
3170000	3173000	as a president and I think
3173000	3176000	I have more experience than one client.
3176000	3179000	We build all the time, and all the time it is too little.
3179000	3182000	So there is no way that I will say,
3182000	3185000	oh, now we will finish and then we will not build for two years,
3185000	3188000	we will probably be even more.
3188000	3191000	Investments are conducted all the time,
3191000	3194000	it also requires the robotization
3194000	3197000	of the industry of our production processes.
3197000	3200000	We are implementing very innovative
3200000	3203000	production processes,
3203000	3206000	it was necessary to show later
3206000	3209000	a larger majority.
3209000	3212000	If we produce something where normally
3212000	3215000	in the industry, for example, 100 welders
3215000	3218000	we have three robots
3218000	3221000	that do it automatically,
3221000	3224000	maybe this investment is expensive at the beginning,
3224000	3227000	maybe it is difficult because it requires other people
3227000	3230000	to handle these things, to program, to supervise,
3230000	3233000	then in the final effect,
3233000	3236000	with greater production and so on, it shows
3236000	3239000	that it was a very good decision and it pays off
3239000	3242000	to make this decision.
3242000	3245000	How do Western companies achieve higher margins than in Poland?
3245000	3248000	Well, yes,
3248000	3251000	to put it bluntly,
3251000	3254000	generally, yes,
3254000	3257000	because, after all, the market in Poland is still cheaper,
3257000	3260000	which is competitive
3260000	3263000	in relation to the West.
3263000	3266000	However, with standard products
3266000	3269000	that are produced in large quantities,
3269000	3272000	then you have to sweat a lot
3272000	3275000	to be able to offer products and have nice clients
3275000	3278000	and deliver to the market.
3278000	3281000	This is how it looks,
3281000	3284000	depending on the product, but in principle,
3284000	3287000	the market as a producer in Poland,
3287000	3290000	compared to the Polish market,
3290000	3293000	the market may be bigger.
3293000	3296000	There is such a question that I would also like to ask
3296000	3299000	after a few years of product sales,
3299000	3302000	the target base of customers will be huge,
3302000	3305000	and in the company great know-how.
3305000	3308000	It would be possible to offer high-margin services
3308000	3311000	on your own various products, I understand probably
3311000	3314000	some warranty services or something additional,
3314000	3317000	but my question is more on the other side.
3317000	3320000	Who is your client? Is it a physical person
3320000	3323000	who decides on a given product?
3323000	3326000	Who really is the main client?
3326000	3329000	Difficult question,
3329000	3332000	because in Poland our client is the municipality,
3332000	3335000	we are very large,
3335000	3338000	we do municipal sales,
3338000	3341000	we have a municipality client,
3341000	3344000	we have a lot of montages made,
3344000	3347000	we have a final client,
3347000	3350000	even if we sell through distributors,
3350000	3353000	our client is the final client
3353000	3356000	who would, for example,
3356000	3359000	expect a service or an operational review
3359000	3362000	or other things.
3362000	3365000	So here we lead a very large part
3365000	3368000	of our activities to this day.
3368000	3371000	There are such activities as
3371000	3374000	offering a disc,
3374000	3377000	this disc was our name,
3377000	3380000	before this disc,
3380000	3383000	a well-known disc,
3383000	3386000	remains with this disc,
3386000	3389000	which offers security
3389000	3392000	in relation to the extended warranty
3392000	3395000	of the 24-hour service.
3395000	3398000	So here all these additional components,
3398000	3401000	in addition to sales themselves,
3401000	3404000	begin to play a big role.
3404000	3407000	We try to resummulate
3407000	3410000	and properly divide
3410000	3413000	and guarantee this final client
3413000	3416000	or this municipality
3416000	3419000	or this foreign client
3419000	3422000	or company the appropriate range of action.
3422000	3425000	It's not that simple,
3425000	3428000	because in Germany there is something else
3428000	3431000	expected, in Austria something else,
3431000	3434000	so we try and believe
3434000	3437000	that this aspect
3437000	3440000	and type of activity
3440000	3443000	will continue to gain
3443000	3446000	the appropriate range of action in a few years.
3446000	3449000	I would just like to add
3449000	3452000	that our Austrian company,
3452000	3455000	which we have bought, has already achieved
3455000	3458000	a fairly large share of income
3458000	3461000	in terms of service and warranty services.
3461000	3464000	They have a larger percentage share
3464000	3467000	than we try to achieve,
3467000	3470000	so maybe we'll take a look at them a little bit
3470000	3473000	as to who is organized,
3473000	3476000	but there you have already managed to do it.
3476000	3479000	We were talking about foreign acquisitions,
3479000	3482000	we were talking about departments that you have,
3482000	3485000	which you invest in, and are new investments in the country planned
3485000	3488000	rather not.
3488000	3491000	Rather not, because of the super cool frame
3491000	3494000	that we have,
3494000	3497000	I think we have our good results
3497000	3500000	and all our successes,
3500000	3503000	which in the first place are the responsibilities
3503000	3506000	of our people.
3506000	3509000	We have these people here,
3509000	3512000	our employees have been working for many years,
3512000	3515000	we have a very nice frame,
3515000	3518000	everyone is involved,
3518000	3521000	so here is our great victory
3521000	3524000	that we have such a team and not another.
3524000	3527000	This is our common success,
3527000	3530000	so I think we shouldn't invest in other places
3530000	3533000	because it would be difficult to build such a team
3533000	3536000	and such a management in a short period of time,
3536000	3539000	so we will rather try to keep
3539000	3542000	our production going
3542000	3545000	in the long run.
3545000	3548000	If we are already talking about employees,
3548000	3551000	what model of change work is currently being carried out?
3551000	3554000	Three changes.
3554000	3557000	Three changes.
3557000	3560000	So there is a lot of work.
3560000	3563000	Yes, there is a lot of work, so we are working on three changes
3563000	3566000	or two changes, depending on the product,
3567000	3570000	A question about liabilities.
3570000	3573000	The liabilities from the delivery title
3573000	3576000	increased to 51 million from 16.5 at the end of 2021.
3576000	3579000	How many pre-determined liabilities were there?
3579000	3582000	I was the first one, it was over 30%,
3582000	3585000	and does one client dominate there?
3585000	3588000	At the moment, we do not have any pre-determined
3588000	3591000	and longer liabilities, of course,
3591000	3594000	a few three or four days a week is the standard,
3594000	3597000	we do not have any risk,
3597000	3600000	all these liabilities from large clients are secured,
3600000	3603000	we do not see such a risk,
3603000	3606000	we have also normalized the way of calculating
3606000	3609000	with our associated companies,
3612000	3615000	so we do not see any risk there.
3615000	3618000	The question is, if you are developing so quickly,
3618000	3621000	do you have any problems with the staff in the Polish market?
3621000	3624000	Are you looking for specialists?
3624000	3627000	Yes, this is the biggest problem
3627000	3630000	when it comes to dynamic development.
3630000	3633000	If the company develops at a pace of 20%,
3633000	3636000	then there would be no problem,
3636000	3639000	because the staff is like us on a regular basis,
3639000	3642000	so we are very engaged in employing people
3642000	3645000	after school, after practice,
3645000	3648000	and after all possible directions,
3648000	3651000	if you want to come to us to work,
3651000	3654000	to try to make it possible,
3654000	3657000	as much as possible,
3657000	3660000	when crossing a certain speed of development
3660000	3663000	it is difficult, because not all employees
3663000	3666000	want to advance so quickly,
3666000	3669000	maybe it's funny, but that's how it is,
3669000	3672000	some people feel good in this work
3672000	3675000	and in the positions they are,
3675000	3678000	and looking for people who will help us in this fast development
3678000	3681000	is really a big problem for us,
3681000	3684000	and we are looking all the time,
3684000	3687000	maybe it looks funny,
3687000	3690000	all the time we are looking for at least 10-20 people
3690000	3693000	only to manage different processes
3693000	3696000	or to manage different aspects of social activities.
3696000	3699000	What percentage of sales generates the largest customers?
3699000	3702000	I think no more than 25%.
3705000	3708000	I would like to ask about the negotiations
3708000	3711000	about which there was talk.
3711000	3714000	We are talking about the Polish Ecology of Negotiations.
3714000	3717000	How does the development of an independent company look like?
3717000	3720000	Do you acquire more such negotiations
3720000	3723000	from the municipalities?
3723000	3726000	What does the market look like for this type of services?
3726000	3729000	Surprisingly good.
3729000	3732000	I thought that this period was difficult
3732000	3735000	in that year,
3735000	3738000	because organising negotiations
3738000	3741000	always took many months,
3741000	3744000	so municipalities, when they had prices,
3744000	3747000	theoretically they had to make negotiations
3747000	3750000	that were no longer relevant in terms of prices,
3750000	3753000	because these prices grew much faster
3753000	3756000	than the pace of organising these negotiations.
3756000	3759000	However, we managed
3759000	3762000	to finish the year positively.
3762000	3765000	We finished this year positively
3765000	3768000	before the Polish Ecology of Negotiations,
3768000	3771000	and this year looks much better.
3771000	3774000	I mean, the prices of negotiations
3774000	3777000	are more realistic,
3777000	3780000	we have won a lot of negotiations,
3781000	3784000	and I think that 3-5 months in advance
3784000	3787000	we have already organised what and where we will edit,
3787000	3790000	in terms of quality.
3790000	3793000	We are well prepared.
3793000	3796000	In general, the assumption of negotiations
3796000	3799000	was that there would be a second sales leg in Poland,
3799000	3802000	in case there were some restrictions
3802000	3805000	on what we see now.
3805000	3808000	It is very good for us that we have in Poland
3808000	3811000	a second sales leg,
3811000	3814000	where the funds are not for individual clients,
3814000	3817000	who have less and less of it,
3817000	3820000	but those who still have access
3820000	3823000	to external European financing.
3823000	3826000	We hope that this access will be even greater.
3826000	3829000	These losses are possible
3829000	3832000	for individual clients.
3832000	3835000	Thank you for your time
3835000	3838000	and the willingness to meet with investors,
3838000	3841000	of whom there are nearly 100 online,
3841000	3844000	and probably more will watch it later.
3844000	3847000	There was a question on the chat
3847000	3850000	whether there is a chance for open days for investors.
3850000	3853000	Yes, for now we have parking lots
3856000	3859000	with cars that come for goods.
3859000	3862000	I was looking at it recently,
3862000	3865000	and I thought that it would be nice
3865000	3868000	to do something like that.
3868000	3871000	We do not have huge parking lots,
3871000	3874000	but all of them are parked with cars
3874000	3877000	that are waiting for goods.
3877000	3880000	It is a very nice idea,
3880000	3883000	and I think that time would be right
3883000	3886000	to do something like that,
3886000	3889000	because it would give a lot.
3889000	3892000	The hour has passed quickly.
3892000	3895000	Thank you very much.
3895000	3898000	I understand that you have ambitions
3898000	3901000	that are not local,
3901000	3904000	but European when it comes to sales.
3904000	3907000	We have to look at you as those
3907000	3910000	who deliver goods to these developed markets,
3910000	3913000	Germany, now Austria,
3913000	3916000	where it is very difficult for others to enter
3916000	3919000	the market.
3919000	3922000	I understand that you are very dissatisfied
3922000	3925000	with the current exchange rates,
3925000	3928000	but I think that through the results
3928000	3931000	you will prove that it is worth investing in you.
3931000	3934000	Thank you very much.
3934000	3937000	Goodbye.
